Assembly	Total_run_time_in_seconds 	Peak_memory_in_gb	CPU_use_in_percentage	Number_of_contigs	N50_contig_length_in_bp	BUSCO_completeness_in_percentage	Total_gene_count
Arabidopsis_thaliana_DBG2OLC_nanopore	11070	3.8	168	805	3422918	26.4	16716
Arabidopsis_thaliana_MaSuRCA_nanopore	31402	88.03	1704	174	4795317	86.4	17265
Arabidopsis_thaliana_SPAdes_nanopore	8301	23.4	1708	39632	1142683	86.3	17243
Arabidopsis_thaliana_Ray_nanopore	12655	1.1	3199	11994	67823	90	17622
Arabidopsis_thaliana_IDBA-UD_nanopore	33255	139.9	2388	460107	913	85.7	53187
Arabidopsis_thaliana_DBG2OLC_pacbio	18354	3.8	156	1020	3389291	80	22209
Arabidopsis_thaliana_MaSuRCA_pacbio	73188	88.02	2627	155	6613035	97.8	20638
Arabidopsis_thaliana_SPAdes_pacbio	27384	23.4	736	37260	1008306	98.5	20785
Arabidopsis_thaliana_Ray_pacbio	14510	1.15	3199	11844	65374	98.2	18865
Arabidopsis_thaliana_IDBA-UD_pacbio	79588	396.89	2371	450855	693	98.4	43890
Saccharomyces_cerevisiae_DBG2LOC_nanopore	718	0.6	239	70	488556	32.8	2604
Saccharomyces_cerevisiae_MaSuRCA_nanopore	14629	40.84	490	24	777833	89.6	2838
Saccharomyces_cerevisiae_SPAdes_nanopore	750	12.1	1363	634	349797	97.7	2333
Saccharomyces_cerevisiae_Ray_nanopore	1791	0.28	3199	259	162525	90.1	1860
Saccharomyces_cerevisiae_IDBA-UD_nanopore	2100	9.46	2455	15065	53969	86.5	1714
Saccharomyces_cerevisiae_DBG2LOC_pacbio	648	0.6	241	31	601663	86.9	2637
Saccharomyces_cerevisiae_MaSuRCA_pacbio	4979	40.67	1947	28	813402	97.4	3764
Saccharomyces_cerevisiae_SPAdes_pacbio	943	12.1	1725	586	343814	97.7	2280
Saccharomyces_cerevisiae_Ray_pacbio	2818	0.28	3198	249	155655	88.5	1900
Saccharomyces_cerevisiae_IDBA-UD_pacbio	10606	81.04	2454	234649	607	92.7	1759
Shigella_dysenteriae_DBG2OLC_nanopore	193	0.77	330	2	5103327	13.7	10634
Shigella_dysenteriae_MaSuRCA_nanopore	2030	40.51	680	2	5166267	99.9	5125
Shigella_dysenteriae_SPAdes_nanopore	781	6.27	2065	21	5083375	99.9	5011
Shigella_dysenteriae_Ray_nanopore	1605	0.33	3198	16993	4215	95.8	5319
Shigella_dysenteriae_IDBA-UD_nanopore	20956	112.72	2243	110735	400	20.1	25596
Shigella_dysenteriae_DBG2OLC_pacbio	170	0.6	390	4	3572768	85.6	10122
Shigella_dysenteriae_MaSuRCA_pacbio	1324	40.52	2260	3	5098251	99.7	5060
Shigella_dysenteriae_SPAdes_pacbio	591	6.27	1964	18	5081006	99.9	5005
Shigella_dysenteriae_Ray_pacbio	997	0.23	3198	16530	17279	96.4	4691
Shigella_dysenteriae_IDBA-UD_pacbio	7488	51.63	2416	129440	645	98.2	92964
