Assembly	Total_run_time_in_seconds 	Peak_memory_in_gb	CPU_use_in_percentage	Number_of_contigs	N50_contig_length_in_bp	BUSCO_completeness_in_percentage	Total_gene_count
Arabidopsis_thaliana_ABYSS2	1989	1.32	2871	115487	41020	98.2	19674
Arabidopsis_thaliana_MaSuRCA	1023238	658.31	132	15002	74753	98.4	20593
Arabidopsis_thaliana_SOAPDenovo	1378	28.54	1058	110755	14544	97.5	20003
Arabidopsis_thaliana_SPAdes	12027	35.48	1408	106175	81583	98.4	19902
Arabidopsis_thaliana_Ray	37417	2.39	3199	12316	122354	96.8	20119
Arabidopsis_thaliana_IDBA-UD	6476	30.36	2048	118426	48971	98.5	19850
Arthrinium_malacianum_ABYSS2	2324	2.68	3149	6728	38668	97.8	3400
Arthrinium_malacianum_MaSuRCA	48478	45.2	656	3094	1928104	98	4862
Arthrinium_malacianum_SOAPDenovo	2000	89.22	861	23825	17683	97.2	3499
Arthrinium_malacianum_SPAdes	29454	102.08	2288	636	1900244	98.1	3442
Arthrinium_malaysianum_Ray	15078	1.52	3199	10944	71343	88	4411
Arthrinium_malaysianum_IDBA-UD	24877	159.04	2227	17082	45961	97.6	4542
Drosophila_melanogaster_ABYSS2	1490	1.35	2913	163058	5688	97.8	12258
Drosophila_melanogaster_MaSuRCA	64152	24.05	792	7324	229463	98.7	12305
Drosophila_melanogaster_SOAPDenovo	1036	17.05	842	112907	5840	98.2	12259
Drosophila_melanogaster_SPAdes	8454	23.46	1927	132900	54065	98.1	12306
Drosophila_melanogaster_Ray	8700	1.02	3199	17945	21411	96.4	11817
Drosophila_melanogaster_IDBA-UD	3880	27.71	2288	17865	59219	98.7	12126
Escherichia_coli_ABYSS2	192	0.71	3083	641	72901	99.9	5298
Escherichia_coli_MaSuRCA	3970	14.99	785	30	1145201	99.9	5514
Escherichia_coli_SOAPDenovo	129	8.59	1637	815	72903	99.9	5325
Escherichia_coli_SPAdes	913	10.83	1148	342	334791	99.9	5376
Escherichia_coli_Ray	2452	0.61	3198	44	341770	99.9	5475
Escherichia_coli_IDBA-UD	344	4.38	1971	393	111352	99.9	5339
