Assembly	Total_run_time_in_seconds 	Peak_memory_in_gb	CPU_use_in_percentage	Number_of_contigs	N50_contig_length_in_bp	BUSCO_completeness_in_percentage	Total_gene_count
Arabidopsis_thaliana_ABYSS2	2156	1.32	2935	116180	35195	98.2	18807
Arabidopsis_thaliana_DISCOVARdenovo	2131	189.18	1777	20073	21174	98	18972
Arabidopsis_thaliana_LightAssembler	1518	0.78	687	174746	3040	96.8	17742
Arabidopsis_thaliana_MaSuRCA	10913	658.31	842	8846	53187	97.4	18976
Arabidopsis_thaliana_SOAPdenovo	1317	28.54	1008	110316	15210	98	19213
Arabidopsis_thaliana_SPAdes	5492	23.32	1835	106993	86811	98.5	18924
Arabidopsis_thaliana_SparseAssembler	3772	1.45	99	528084	5334	97.7	18020
Arabidopsis_thaliana_Ray	12237	1.44	3199	10795	39965	97.8	18803
Arabidopsis_thaliana_IDBA-UD	5772	24.25	2021	100004	49316	98.6	19072
Arthrinium_malaysianum_ABYSS2	2828	3.09	3168	6728	38668	97.9	3409
Arthrinium_malaysianum_DISCOVARdenovo	3452	269.19	2055	10930	3498	30.1	2627
Arthrinium_malaysianum_LightAssembler	1794	0.43	605	32710	7871	94.6	3497
Arthrinium_malaysianum_MaSuRCA	4434	45.2	2128	3696	76674	98.2	4735
Arthrinium_malaysianum_SOAPdenovo	1808	89.22	866	24030	17848	97.1	3486
Arthrinium_malaysianum_SPAdes	19976	75.9	2308	860	241592	98.3	3506
Arthrinium_malaysianum_SparseAssembler	10016	3.6	99	2440541	46	26.6	2633
Arthrinium_malaysianum_Ray	8461	1.09	3199	14381	66644	95.3	3826
Arthrinium_malaysianum_IDBA-UD	11381	70.57	2274	5494	137713	98.2	4624
Drosophila_simulans_ABYSS2	2260	1.8	3051	166057	21444	95.8	11207
Drosophila_simulans_DISCOVARdenovo	2186	175.85	1923	19735	49975	97.3	11042
Drosophila_simulans_LightAssembler	1178	0.78	833	108673	8110	93.6	11353
Drosophila_simulans_MaSuRCA	4512	45.2	1442	15216	44639	96.7	11102
Drosophila_simulans_SOAPDenovo	1496	48.02	1077	191236	11634	91.2	11489
Drosophila_simulans_SPAdes	10270	28.22	2090	92589	121469	98.2	10941
Drosophila_simulans_SparseAssembler	4225	2.89	99	574393	7218	92.4	11247
Drosophila_simulans_Ray	6554	0.92	3199	16651	60070	97.7	10961
Drosophila_simulans_IDBA-UD	5166	24.33	2317	169585	64135	97	11115
Helicobacter_pylori_ABYSS2	298	0.69	992	64	85032	99.5	1567
Helicobacter_pylori_DISCOVARdenovo	164	6.89	2145	82	124094	99.4	1557
Helicobacter_pylori_LightAssembler	27	0.1	1170	859	4742	68	2144
Helicobacter_pylori_MaSuRCA	948	12.42	367	59	66452	98.6	1585
Helicobacter_pylori_SOAPdenovo	45	2.38	1517	142	90421	99.2	1544
Helicobacter_pylori_SPAdes	145	5.02	1691	64	106961	99.5	1545
Helicobacter_pylori_SparseAssembler	87	0.04	99	7007	9360	98.6	1512
Helicobacter_pylori_Ray	100	0.15	3186	302	1664	13.4	367
Helicobacter_pylori_IDBA-UD	129	1.28	2385	89	92504	99.5	1561
